.,English
EventGraveSearch.text,Are the remains a mixture of unusually large deformed goats?\n\nTest {observation}
EventGraveSearch.button1,Continue
TokenGrave.text,The grave contains remains of some kind of herd animal.
TokenGrave.button1,{action} Explore
quest.name,Lost
quest.description,Lost
quest.authors,Jürgen Rudolph and Nicola Zee
EventGraveSearchTrail2.text,The remains are still fresh and the skull is distinctly human-like.  A trail of footsteps in the fresh mud leads towards the Shack and the Porch.  Someone not far away is trying to cover up their heinous crimes and you have the {c:QItemForensicEvidence}.\n\nGain 1 Clue
EventGraveSearchTrail2.button1,Continue
EventGraveSearchTrail.button1,Button1
EventGraveSearchTrail1.text,The remains were buried long ago but they are human-like and are evidence of some kind of hereditary deformity or insane medical experiments and you have the {c:QItemForensicEvidence}\n\nGain 2 Clues
EventGraveSearchTrail1.button1,Continue
TokenShackToGraves.text,{qst:QSTRESTRICTSIGHT}
QSTRESTRICTSIGHT, In the darkness you cannot see far.\nYou may only click Reveal if you are in the same space as this Sight Token.
TokenShackToGraves.button1,Reveal
EventPlaceGravesTile.text,The faint glow of a shielded lantern illuminates a freshly dug grave.\n\nPlace the {c:TileGraves} Tile
EventPlaceGravesTile.button1,Continue
EventPlaceTileGravesTokens.text,You see a grave.\n\nPlace 1 Search Token as indicated
EventPlaceTileGravesTokens.button1,Continue
TokenPorchToShack.text,{qst:QSTRESTRICTSIGHT}
TokenPorchToShack.button1,Reveal
EventPlaceRitualSite.text,Place the square {c:TileRitual} Tile\n\n{qst:QSTPLACEDARKTOKEN}
QSTPLACEDARKTOKEN, Place a Darkness token on the tile.
EventPlaceRitualSite.button1,Continue
EventCellarTileTokens.text,Place 1 Explore Token and\n{var:countCellarSights} Sight Token(s).
EventCellarTileTokens.button1,Continue
EventPlaceCellarWall1.text,Place an Indoor Wall Token as indicated
EventPlaceCellarWall1.button1,Continue
TokenRitualToCellar.text,{qst:QSTRESTRICTSIGHT}
TokenRitualToCellar.button1,Reveal
EventPlaceCellarTile.text,In the darkness you see a rotted wooden hatchway to a Root Cellar
EventPlaceCellarTile.button1,Continue
EventSecretHatchwayExplore.text,You pull back a wooden hatchway leading to a cellar.
EventSecretHatchwayExplore.button1,Continue
TokenCampToBridge.text,The light from the camp fire illuminates a covered bridge.\n\nYou may click Reveal if you are on any space on the {c:TileCamp} Tile
TokenCampToBridge.button1,Reveal
EventPlaceBridgeTile.text,A ramsuckle covered wooden bridge spans a river.\nThe water glistens in the feeble moonlight.\n\nPlace the large {c:TileBridge} Tile\n\n{qst:QSTPLACEDARKTOKEN}
EventPlaceBridgeTile.button1,Continue
EventPlaceBridgeTileTokens.text,Place {var:countBridgeSights} Sight Tokens
EventPlaceBridgeTileTokens.button1,Continue
TokenSecretHatchway.text,Undergrowth has been pulled over a wooden panel.
TokenSecretHatchway.button1,{action} Explore
EventPlaceCellarWall2.text,Place an Indoor Wall Token as indicated
EventPlaceCellarWall2.button1,Continue
EventPlaceObservationTile.text,Place the {c:TileObservatiob} Tile
EventPlaceObservationTile.button1,Continue
TokenPorchToObservation.text,The door is locked
TokenPorchToObservation.button1,{action} Explore
EventPlacePorchTokens.text,Place 1 Explore Token
EventPlacePorchTokens.button1,Continue
TokenPorchDoor.text,Porch Door.
TokenPorchDoor.button1,{action} Explore
TokenCheatA.text,AllyA is not {var:RoleAllyANot}\n
TokenCheatA.button1,Continue
TokenAllyD.text,Ally D {qst:QSTALLYDNAME}
QSTALLYDNAME, Corrina Jones
TokenAllyD.button1,{action} Ask about {qst:QSTALLYANAME}
QSTALLYANAME, Zadoc Allen
TokenAllyD.button2,{action} Ask about {qst:QSTALLYBNAME}
QSTALLYBNAME, Victor Blake
TokenAllyD.button3,{action} Ask about {qst:QSTALLYDNAME}
TokenAllyD.button4,{action} Who are you?
TokenAllyC.text,Ally C {qst:QSTALLYCNAME}
TokenAllyC.button1,{action} Ask about {qst:QSTALLYANAME}
TokenAllyC.button2,{action} Ask about {qst:QSTALLYBNAME}
TokenAllyC.button3,{action} Ask about {qst:QSTALLYDNAME}
TokenAllyC.button4,{action} Who are you?
QSTALLYCNAME, Olivia Gilman
EventAllyCMonologue.text,I am {qst:QSTALLYCNAME}\nOnly I can save us!
EventAllyCMonologue.button1,Continue
TokenAllyA.text,Ally A {qst:QSTALLYANAME}
TokenAllyA.button1,{action} Ask about {qst:QSTALLYBNAME}
TokenAllyA.button2,{action} Ask about {qst:QSTALLYCNAME}
TokenAllyA.button3,{action} Ask about {qst:QSTALLYDNAME}
TokenAllyA.button4,{action} Who are you?
TokenAllyA.button5,{action} What happened? TO DO
TokenAllyA.button6,{action} Attack TO DO
TokenAllyB.text,Ally B {qst:QSTALLYBNAME}
TokenAllyB.button1,{action} Ask about {qst:QSTALLYANAME}
TokenAllyB.button2,{action} Ask about {qst:QSTALLYCNAME}
TokenAllyB.button3,{action} Ask about {qst:QSTALLYDNAME}
TokenAllyB.button4,{action} Who are you?
EventAllyBMonologue.text,I am {qst:QSTALLYBNAME}\nI am not your enemy.\n
EventAllyBMonologue.button1,Continue
EventAllyAMonologue.text,I am {qst:QSTALLYANAME}\nWe can help each other.\n
EventAllyAMonologue.button1,Continue
EventAllyDMonologue.text,I am {qst:QSTALLYDNAME}\nI need your help!\n
EventAllyDMonologue.button1,Continue
EventAllyAIsFriend.text,{qst:QSTALLYAFIRSTNAME} can be trusted.
QSTALLYAFIRSTNAME, Zadoc
EventAllyAIsFriend.button1,Continue
EventAboutAllyA.button1,Button1
EventAboutAllyB.button1,Button1
EventAllyBIsEnemy.text,{qst:QSTALLYBSURNAME} cannot be trusted.
QSTALLYBSURNAME, Blake
EventAllyBIsEnemy.button1,Continue
EventAllyBIsFriend.text,{qst:QSTALLYBFIRSTNAME} can be trusted.
QSTALLYBFIRSTNAME, Victor
EventAllyBIsFriend.button1,Continue
EventAboutAllyD.button1,Continue
EventAllyDIsEnemy.text,{qst:QSTALLYDNAME} cannot be trusted.
EventAllyDIsEnemy.button1,Continue
EventAllyDIsFriend.text,{qst:QSTALLYDFIRSTNAME} can be trusted.
QSTALLYDFIRSTNAME, Corrina
